CoordinateX,CoordinateY
2.1,1.03
-2.77,8.64
1.12,-2.96
3.92,5.08
1.33,0.92
0.48,0.62
-3,-4.17
1.64463,0.3386
10.14,-1.63
8.72,1.7
-15.7,9.06
2.05924,4.96677
2.94,-8.28
2.92,-3.12
1.35,-1.15
-2.13201,1.25981
-0.66,-14.2
0.29167,10.50413
-6.67,-4.93
-9.53,-6.27
-14.95515,3.88158
-4.16717,-2.71341
0.67709,-9.2887
5.82,15.29
7.57,-6.84
1.11633,4.36853
1.75,-0.77
25.75,-11.59
4.33,-2.04
-7.85,6.25
-0.46,-8.81
-10.29173,3.25147
4.26387,5.96009
5.23,12.54
4.45794,-2.22885
0.49,-10.54
-4.66,-3.74
-39.39,-28.55
0.53,-0.2
3.6,1.9
-0.68,0.1
-3.3,-4.9
-8.04179,-13.47316
-0.55,-2.54
8.74716,-2.25285
4.58,-4.44
3.9137,7.31791
15.62,-22
-5.3,8.07
6.94,0.87
-0.67,-1.37
0.8,10.4
-9.39,-5.85
-24.76,6.4
2.36,-0.61
-1.94,1.6
1.85,0.49
7.83,-6.71
-7.35,0.56
-0.9,-0.12
-7.4,-7.55
-5.27,6.72
3.06,-0.68
-1.57468,6.08142
2.14,0.39
4.16,3.96
-2.77,11.26
-5.25751,2.68913
4.89,3.91
8.1,-0.32
-9.19926,1.04341
0.78,-1.7
-6.76,0.61
-7.08657,-6.69814
6.58,-1.75
0.92,3.05
0.11,1.35
-2.56,1.06
-1.98,0.54
-2.6,-1.12
4.68,1.43
-3.84,9
-1.49,-1.55
1.91723,2.30555
-1.84,2.12
-5.77,-0.61
-3.79,5.34
4.36081,5.62085
-40.41,17.06
2.82,2.48
-3.14,-4.4
-2.5,2.06
-9.47,-1.12
9.08,6.94
4.01,-1.39
-2.67,3.41
-2.13198,3.24649
-4.75613,9.46598
-6.88,6.88
-2.42274,-1.79281
13.17,-17.26
-1.75,1.49
2.32959,7.62113
4.17,-2.67
2.67,-0.44
-7.31,-5.7
7.88,-4.96
17.71,2.33
17.72894,9.07439
2.99,-2.26
2.63,-2.97
-1.09,-11.31
20.82,-1.64
4.2,-3.18
-1.96209,-9.7167
19.37,-15.24
1.52632,-1.52632
33.84,6.09
3.11,1.56
2.21,3.12
8.66,1.4
1.14,-2.5
5.42,5.86
-10.83,8.79
9.53885,-4.53771
0.33916,-5.52412
-1.67,-2.3
-2.49,0.65
-3.07,4.04
-6.66,7.88
-2.87303,-5.23941
-6.32,6.9
-10.67,-12.27
49.99,0.75
-1.35881,-10.24333
34.14,-18.65
0.19,-1.51
7.0015,-7.97098
-13.96,3.66
-0.19,0.13
-0.41255,5.60641
4.91834,-1.13864
14.4,-3.31
1.47531,2.68463
-7.38,-0.71
1.99004,-2.08712
2.33,-0.09
-9.54,4.05
-0.05,1.55
6.15309,9.78883
14.31,-1.45
3.52,-12.09
1.24,0.56
-1.89,2.08
-0.39,6.02
11.38213,-11.28497
-3.51283,5.69361
3.62,-8.42
-15.64983,-13.51828
-15.99474,-9.44585
3.74,6.61
-5.72777,0.87363
0.49,0.26
-11.8,-14.8
-2.20846,-2.35408
0.83,0.97
4.18,6.08
2.52,-1.67
-2.61204,2.80554
1.63,-22.41
4.34,8.91
-4.14,-13.5
7.60685,-9.78848
-0.95,-7.76
-6.54,-9.02
0.62981,9.49861
-5.22418,-4.30498
-1.27,0.18
-2.93633,-6.86855
-12.59784,7.44917
6.73,2.31
-0.81,0.05
15.78,-6.59
1.16288,3.68263
-18.87,8.65
-7.14736,-5.16019
-0.88,2.39
-0.19,-0.53
-5.86333,-1.55046
-5.87743,2.0073
-24.05,11.25
11.86,10.69
5.13642,0.0969
-0.61,-0.15
-3.57,-5.22
8.72,-8.28
3.42,-2.01
3.41,4.37
1.33467,-7.20849
1.79,-0.71
-1.19,-2.89
0.44,1.7
7.86,-4.72
2.4227,3.58568
4.11,8.78
4.7326,-1.18913
-0.93,-1.65
-2.07,-8.69
-6.35761,-10.67969
2.78,-0.26
-5.08,0.56
1.54,-0.02
-3.90002,-9.86194
6.44,9.21
5.19,-3.69
1.33021,1.08835
-2.59,-1.99
-7.91,4.71
0.19,4.76
0.78,0
7.63375,-6.02873
7.62,-0.19
1.76776,16.40963
15.18,-2.67
4.92,-0.31
-1.96579,-0.60672
-3.58,1.05
-1.48,1.43
-7.18,2.31
3.6,7.84
-4.19864,-0.89792
2.26,12.23
6.09,-3.42
2.75,-17.44
-2.26,-9.93
4.85,-4.31
-3.3245,8.22797
0.06,2.88
2.72,4.66
-9.06,-4.65
-1.84,-0.94
-6.55,-2.56
-3.8831,1.50463
-2.19,0.22
0.36,8.58
-36.74,21.29
4.08,7.54
-10.95103,10.22363
2.54,0.59
1.61,-1.75
-10.5847,-15.87281
5.39359,2.92635
5.13,6.2
-3.44623,-1.79587
7.22035,-6.19899
-8.29639,-17.62676
-0.42,0.06
-10.29588,-12.04179
0.53,7.43
0.97,-3.85
-0.8,-0.46
8.27211,5.0786
-2.6,-2.07
-5.19371,-2.76655
6.60145,3.97989
-1.31,-3.74
17.9,0.75
7.91,-16.93
0.14,0.95
-12.30733,-3.61517
7.28,1.26
-0.22,-3.09
1.83,-1.88
-0.60562,7.87473
-7.79,13.93
-1.14,-6.33
-2.5,5.5
-4.5,10.28
0.70258,-3.27074
2.45045,-12.93901
-9.7,-7.66
1.26,-5.39
-13.03502,-7.44902
-6.79583,-0.19414
-1.41,1.51
-1.86,0.16
-1.44,-0.56
2.37837,-0.14561
-0.85,-4.25
10.11073,-6.23919
0.69,-3.26
1.55,-7.41
1.77,-0.12
-1.72301,5.21803
14.24,-5.26
4.2,7.4
0.99673,0.26741
5.37,4.3
5.1,6.12
-2.74241,0.65525
-2.40252,5.26654
1.63,-3
4.41,1.7
0.25,-1.63
1.96572,-4.34424
-8.68941,-0.72797
-6.45,-9.18
-1.41,1.70173
2.43,0.66
-1.63,3.91
6.14,4.2
-0.42,0.67
2.85374,-6.38538
0.80083,-5.55786
-17.92064,-0.04851
-3.23,1.19
-2.38,-4.67
-1.41,1.36
1.41,0.15
-5.71,8.73
-2.95,-0.87
6.09,-2.53
-2.63,-1.85
-2.09,-2.05
1.63,2.21
7.68,-2.33
-3.51,2.25
-5.60594,6.91682
1.36,3.83
0.96,0.05
23.55,8.11
-1.39,0.95
-3.66,3.13
-0.38,0.42
3.85,-10.91
1.63,5.18
0.99,-7.65
-1.52,0.06
-13.93,11.55
-9.53,-4.62
7.35,-0.32
-2.5,-1.53
6.07,7.96
-0.61,-7.76
-0.13,-1.46
5.02,-11.01
3.69,-7.77
2.91,-5.97
-11.28,-3.68
-7.22,7.22
6.94,-7.96
39.67,2.34
-1.21,-1.72
0.37,-1.32
3.89,-2.68
3.15491,-4.02867
12.26201,-3.48787
10.47,-5.99
0.73,-1.35
-0.7,0.37
5.24213,4.61103
-3.85,-0.58
-0.7,5.76
-7.03,-1.48
3.95,1.39
-0.97,1.52
-5.22,1.67
-1.60148,-9.75768
-0.71,-0.83
-7.74,-1.27
2.3,-2.24
-1.7,-2.38
1.59,-2.74
-6.91683,-5.5574
3.32474,5.21795
-5.51,0.07
-6.39,-10.92
3.54,3.2
3.87,-8.89
-12.01,-11.43
-2.6164,-6.20253
-4.14185,-12.48012
3.32,5.84
1.14,2.8
-0.07,-4.74
5.15,-4.08
3.59144,8.20366
0.75192,-17.55598
3.27,-8.07
-13.71647,-0.75208
6.53,-19.17
-7.48,-1.31
0.26,-0.1
-0.62,1.3
-2.09,-0.75
0.28,-0.67
-2.29,-8.28
-3.45,3.11
-4.93,-0.63
9.76,-0.87
-3.05773,6.06751
-3.72,15.81
23.05,24.27
-2.14,2.92
2.89,6.57
-13.2,-4.17
2.08355,2.132
1.84,1.9
-3.03,21.84
-1.45,10.23
6.98,2.99
2.23,2.23
-0.46032,0.7995
1.21,-1.74
2.27,-0.75
-21.45,20.72
1.33,-1.82
7.34239,-1.65295
2.26,0.32
-2.63,7.88
-6.21,-3.2
-9.73,2.35
-1.8411,7.51116
-0.86,0.14
2.55,1.63
-4.87,0.19
0.89,2.91
-7.94,5.75
0.58,0.6
1.43,0.22
15.17,-6.62
0.43682,4.61125
-5.41067,12.74416
10.45,-1.89
-0.9,2.71
-4.35171,5.70585
-2.96553,-8.50958
0,2.14
-7.03785,7.95727
0.74,-0.35
18.72,31.62
-7.30552,-2.69362
0.54,2
-7.53304,13.40061
-0.95,2.9
1.02,1.31
-2.36,-2.89
7.5,3.92
-1.29,-9.2
2.47008,6.73313
-1.7,-6.27
-8.10511,-10.63065
-0.8,-4.01
-2.76668,-0.53391
2.93,-1.83
-0.02427,5.89769
4.08,2.04
0.48,1.52
4.69207,-1.09392
16.16425,9.95455
-1.45,-0.13
-2.58,-1.64
3.49,2.13
6.12987,-2.01074
-1,0.65
-9.13,7.52
-1.68,1.82
2.01,-1.61
-9.71,7.77
-10.53,10.77
0.9,-4.1
-2.17,-1.71
1.02,-5.68
-10.19,23.54
-2.09652,-1.2189
0.7766,-0.67953
-11.46,5.06
4.9,4.17
11.87378,5.13514
1.5,-2.47
-7.79073,-5.46019
0.75,-0.86
-0.37,-2.3
-2.74239,2.20845
-5.99,0.12
6.8,-2.77
-7.96,-5.14
8.53401,-1.38552
2.01,2.25
-11.65,16.75
5.13,1
8.83,-3.16
-2.07,-5.71
11.32142,-1.30573
6.12,2.77
5.02,-0.7
-0.38762,4.21568
0.60561,8.06861
-2.04,2.09
-4.82969,-0.99498
-0.80224,2.11501
-0.87209,7.70508
4.73,-8.2
0.05,2.67
-0.86,1.09
-10.07,-8.03
-13.66,21.7
-3.6,-4.42
-6.18664,14.5901
-10.66,45.42
-2.03805,-12.33182
-7.2203,2.81014
-7.73,7.29
-1.78,-1.83
1.14,-5.58
0.36,-5.37
-6.6,-0.46
0.84941,-0.84941
-4.19,-4.53
0.43603,-9.15927
4.4,-0.32
1.28623,-2.79095
2.14,3.74
0.03,-1.52
-8.3593,-3.17344
-9.78,6.93
-2.47,15.1
-1.09,5.99
4.6759,4.14283
2.8,1.97
